RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-03-10;AFSJ21;BRBMEFAFS0R6;FINANCIAL;15092;15310;15192,88;15138;15130;;;7;145
2021-03-10;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;15180,6;;;;
2021-03-10;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;15241;;;;
2021-03-10;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;15292,2;;;;
2021-03-10;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;15347,1;;;;
2021-03-10;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;61,38;;;;
2021-03-10;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;59,686;;;;
2021-03-10;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;57,696;;;;
2021-03-10;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;55,799;;;;
2021-03-10;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;53,903;;;;
2021-03-10;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;92612;;;;
2021-03-10;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;95345,8;;;;
2021-03-10;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;98799,9;;;;
2021-03-10;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;102359,3;;;;
2021-03-10;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;106183,8;;;;
2021-03-10;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4394,756;;;;
2021-03-10;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4400,027;;;;
2021-03-10;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4407,986;;;;
2021-03-10;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4416,986;;;;
2021-03-10;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4426,691;;;;
2021-03-10;AUSJ21;BRBMEFAUS0R7;FINANCIAL;770,8;774;773,27;773,6;773,103;;;22;1028
2021-03-10;AUSK21;BRBMEFAUS0S5;FINANCIAL;;;;;773,18;;;;
2021-03-10;AUSM21;BRBMEFAUS0T3;FINANCIAL;;;;;773,278;;;;
2021-03-10;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;773,347;;;;
