RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-02-17;AFSH21;BRBMEFAFS0Q8;FINANCIAL;14633;14680;14677,14;14680;14684,9;;;6;1614
2021-02-17;AFSJ21;BRBMEFAFS0R6;FINANCIAL;;;;;14749,1;;;;
2021-02-17;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;14812,7;;;;
2021-02-17;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;14877,3;;;;
2021-02-17;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;14934,6;;;;
2021-02-17;ARBH21;BRBMEFARB0Q3;FINANCIAL;;;;;60,326;;;;
2021-02-17;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;58,279;;;;
2021-02-17;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;56,34;;;;
2021-02-17;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;54,346;;;;
2021-02-17;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;52,396;;;;
2021-02-17;ARSH21;BRBMEFARS0F7;FINANCIAL;;;;;89834,6;;;;
2021-02-17;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;93086;;;;
2021-02-17;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;96377,2;;;;
2021-02-17;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;100050;;;;
2021-02-17;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;103936,4;;;;
2021-02-17;AUDH21;BRBMEFAUD3L1;FINANCIAL;;;;;4200,149;;;;
2021-02-17;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4205,134;;;;
2021-02-17;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4209,603;;;;
2021-02-17;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4215,969;;;;
2021-02-17;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4223,109;;;;
2021-02-17;AUSH21;BRBMEFAUS0Q9;FINANCIAL;773,3;775,1;774,68;775;775,033;;;10;219
2021-02-17;AUSJ21;BRBMEFAUS0R7;FINANCIAL;774,8;774,8;774,8;774,8;775,145;;;2;192
2021-02-17;AUSK21;BRBMEFAUS0S5;FINANCIAL;;;;;775,262;;;;
2021-02-17;AUSM21;BRBMEFAUS0T3;FINANCIAL;;;;;775,371;;;;
2021-02-17;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;775,468;;;;
2021-02-17;B3SAOG21;BRB3SA320028;FINANCIAL;;;;;59,01;;;;
2021-02-17;B3SAOH21;BRB3SA330027;FINANCIAL;59,1;59,76;59,32;59,35;59,09;;;50;63500
2021-02-17;B3SAOJ21;BRB3SA340026;FINANCIAL;59,09;60,16;59,56;59,59;59,2;;;343;102700
