RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-02-24;AFSH21;BRBMEFAFS0Q8;FINANCIAL;14477;14575;14533,85;14530;14548,7;;;7;2642
2021-02-24;AFSJ21;BRBMEFAFS0R6;FINANCIAL;14600;14706;14630,7;14600;14611,1;;;4;889
2021-02-24;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;14668;;;;
2021-02-24;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;14722;;;;
2021-02-24;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;14779,8;;;;
2021-02-24;ARBH21;BRBMEFARB0Q3;FINANCIAL;;;;;60,285;;;;
2021-02-24;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;57,933;;;;
2021-02-24;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;56,038;;;;
2021-02-24;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;54,172;;;;
2021-02-24;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;52,323;;;;
2021-02-24;ARSH21;BRBMEFARS0F7;FINANCIAL;;;;;89992,4;;;;
2021-02-24;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;93743,2;;;;
2021-02-24;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;97003,6;;;;
2021-02-24;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;100489,7;;;;
2021-02-24;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;104208,6;;;;
2021-02-24;AUDH21;BRBMEFAUD3L1;FINANCIAL;4298;4298;4298;4298;4307,941;;;1;4
2021-02-24;AUDJ21;BRBMEFAUD3M9;FINANCIAL;4298,5;4298,5;4298,5;4298,5;4312,552;;;1;4
2021-02-24;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4317,047;;;;
