RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-03-31;AFSJ21;BRBMEFAFS0R6;FINANCIAL;;;;;14766,25;;;;
2021-03-31;AFSK21;BRBMEFAFS0S4;FINANCIAL;14810;14845;14826,42;14835;14835,5;;;6;695
2021-03-31;AFSM21;BRBMEFAFS0T2;FINANCIAL;14862;14862;14862;14862;14897;;;1;2
2021-03-31;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;14955,9;;;;
2021-03-31;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;15015,5;;;;
2021-03-31;AFSU21;BRBMEFAFS0W6;FINANCIAL;;;;;15076,3;;;;
2021-03-31;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;61,933;;;;
2021-03-31;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;59,487;;;;
2021-03-31;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;58,079;;;;
2021-03-31;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;56,544;;;;
2021-03-31;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;54,81;;;;
2021-03-31;ARBU21;BRBMEFARB0W1;FINANCIAL;;;;;53,15;;;;
2021-03-31;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;91991,2;;;;
2021-03-31;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;94864,5;;;;
2021-03-31;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;97361,2;;;;
2021-03-31;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;100237,3;;;;
2021-03-31;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;103704,4;;;;
2021-03-31;ARSU21;BRBMEFARS0L5;FINANCIAL;;;;;107291,4;;;;
2021-03-31;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4339,349;;;;
2021-03-31;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4290,084;;;;
2021-03-31;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4299,213;;;;
2021-03-31;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4309,749;;;;
2021-03-31;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4322,434;;;;
2021-03-31;AUDU21;BRBMEFAUD3R8;FINANCIAL;;;;;4336,744;;;;
2021-03-31;AUSJ21;BRBMEFAUS0R7;FINANCIAL;;;;;761,65;;;;
2021-03-31;AUSK21;BRBMEFAUS0S5;FINANCIAL;761,6;761,7;761,61;761,6;760,226;;;2;115
2021-03-31;AUSM21;BRBMEFAUS0T3;FINANCIAL;760,4;760,4;760,4;760,4;760,304;;;1;152
2021-03-31;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;760,395;;;;
2021-03-31;AUSQ21;BRBMEFAUS0V9;FINANCIAL;;;;;760,453;;;;
2021-03-31;AUSU21;BRBMEFAUS0W7;FINANCIAL;;;;;760,487;;;;
2021-03-31;B3SAOJ21;BRB3SA340026;FINANCIAL;53,96;54,95;54,54;54,77;54,69;;;278;102100
2021-03-31;B3SAOK21;BRB3SA350025;FINANCIAL;54,24;54,97;54,71;54,93;54,84;;;5;1500
2021-03-31;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;314,65;315,2;314,92;315;314,95;;;122;219
