RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-02-10;AFSH21;BRBMEFAFS0Q8;FINANCIAL;14719;14722;14720,63;14719;14778;;;2;11
2021-02-10;AFSJ21;BRBMEFAFS0R6;FINANCIAL;;;;;14842,2;;;;
2021-02-10;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;14902,9;;;;
2021-02-10;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;14964,6;;;;
2021-02-10;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;15016,3;;;;
2021-02-10;ARBH21;BRBMEFARB0Q3;FINANCIAL;;;;;59,984;;;;
2021-02-10;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;58,957;;;;
2021-02-10;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;56,052;;;;
2021-02-10;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;53,876;;;;
2021-02-10;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;52,483;;;;
2021-02-10;ARSH21;BRBMEFARS0F7;FINANCIAL;;;;;89736,2;;;;
2021-02-10;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;91389,1;;;;
2021-02-10;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;96201,9;;;;
2021-02-10;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;100222,1;;;;
2021-02-10;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;103032,6;;;;
2021-02-10;AUDH21;BRBMEFAUD3L1;FINANCIAL;;;;;4159,88;;;;
2021-02-10;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4164,826;;;;
2021-02-10;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4168,746;;;;
2021-02-10;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4174,866;;;;
2021-02-10;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4181,484;;;;
2021-02-10;AUSH21;BRBMEFAUS0Q9;FINANCIAL;772,3;775,8;774,82;773;772,821;;;25;1069
2021-02-10;AUSJ21;BRBMEFAUS0R7;FINANCIAL;773,2;773,2;773,2;773,2;772,978;;;2;35
2021-02-10;AUSK21;BRBMEFAUS0S5;FINANCIAL;;;;;773,084;;;;
2021-02-10;AUSM21;BRBMEFAUS0T3;FINANCIAL;;;;;773,19;;;;
2021-02-10;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;773,278;;;;
2021-02-10;B3SAOG21;BRB3SA320028;FINANCIAL;59,97;62,11;60,76;60,03;60,06;;;79;187600
2021-02-10;B3SAOH21;BRB3SA330027;FINANCIAL;60,04;62,14;60,61;60,17;60,15;;;615;185300
2021-02-10;B3SAOJ21;BRB3SA340026;FINANCIAL;;;;;60,27;;;;
2021-02-10;BGIG21;BRBMEFBGI5S3;AGRIBUSINESS;296,5;299,95;297,56;296,85;296,9;;;609;1065
2021-02-10;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;290,6;293,2;291,68;291;291,5;;;66;171
2021-02-10;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;286;286;286;286;284,25;;;1;2
2021-02-10;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;281;284,95;282,45;281,15;281,4;;;276;411
2021-02-10;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;280;280;280;280;272,3;;;3;5
2021-02-10;BGIN21;BRBMEFBGI5W5;AGRIBUSINESS;;;;;290,85;;;;
2021-02-10;BGIQ21;BRBMEFBGI5Y1;AGRIBUSINESS;;;;;260;;;;
2021-02-10;BGIU21;BRBMEFBGI5Z8;AGRIBUSINESS;;;;;266,95;;;;
2021-02-10;BGIV21;BRBMEFBGI5V7;AGRIBUSINESS;289,5;292,25;290,22;289,8;293,95;;;25;27
2021-02-10;BGIX21;BRBMEFBGI609;AGRIBUSINESS;;;;;291,25;;;;
2021-02-10;BGIZ21;BRBMEFBGI5X3;AGRIBUSINESS;;;;;267,6;;;;
2021-02-10;BRIJ21;BRBMEFBRI2Y5;FINANCIAL;19656;19656;19656;19656;19662;;;1;10
2021-02-10;BRIM21;BRBMEFBRI2Z2;FINANCIAL;;;;;19727;;;;
