RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-04-07;AFSK21;BRBMEFAFS0S4;FINANCIAL;14620;14652;14621,03;14620;14638,8;;;6;2317
2021-04-07;AFSM21;BRBMEFAFS0T2;FINANCIAL;14685;14685;14685;14685;14701,1;;;1;1
2021-04-07;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;14756,7;;;;
2021-04-07;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;14815,6;;;;
2021-04-07;AFSU21;BRBMEFAFS0W6;FINANCIAL;;;;;14871,8;;;;
2021-04-07;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;60,004;;;;
2021-04-07;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;58,455;;;;
2021-04-07;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;57,053;;;;
2021-04-07;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;55,366;;;;
2021-04-07;ARBU21;BRBMEFARB0W1;FINANCIAL;;;;;53,707;;;;
2021-04-07;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;94041,4;;;;
2021-04-07;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;96742,4;;;;
2021-04-07;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;99369;;;;
2021-04-07;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;102701,4;;;;
2021-04-07;ARSU21;BRBMEFARS0L5;FINANCIAL;;;;;106234,7;;;;
2021-04-07;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4293,071;;;;
2021-04-07;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4302,86;;;;
2021-04-07;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4314,237;;;;
2021-04-07;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4327,448;;;;
2021-04-07;AUDU21;BRBMEFAUD3R8;FINANCIAL;;;;;4342,51;;;;
2021-04-07;AUSK21;BRBMEFAUS0S5;FINANCIAL;763;763,9;763,21;763,9;760,8;;;3;117
2021-04-07;AUSM21;BRBMEFAUS0T3;FINANCIAL;760,7;760,7;760,7;760,7;760,887;;;1;187
2021-04-07;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;760,986;;;;
2021-04-07;AUSQ21;BRBMEFAUS0V9;FINANCIAL;;;;;761,052;;;;
2021-04-07;AUSU21;BRBMEFAUS0W7;FINANCIAL;;;;;761,097;;;;
2021-04-07;B3SAOJ21;BRB3SA340026;FINANCIAL;54,68;55,48;55,18;54,9;55;;;68;42100
2021-04-07;B3SAOK21;BRB3SA350025;FINANCIAL;54,8;55,61;55,43;55,08;55,15;;;22;22300
2021-04-07;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;316,2;317;316,57;316,6;316,75;;;46;121
2021-04-07;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;312,2;315,95;313,4;312,8;313;;;613;1270
2021-04-07;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;311;314,9;312,99;311,8;311,8;;;64;217
2021-04-07;BGIN21;BRBMEFBGI5W5;AGRIBUSINESS;315,1;316;315,2;315,1;314,45;;;4;22
2021-04-07;BGIQ21;BRBMEFBGI5Y1;AGRIBUSINESS;318;318;318;318;311,75;;;3;5
2021-04-07;BGIU21;BRBMEFBGI5Z8;AGRIBUSINESS;;;;;321,05;;;;
2021-04-07;BGIV21;BRBMEFBGI5V7;AGRIBUSINESS;324,75;326,7;326,02;325,85;325,5;;;75;327
2021-04-07;BGIX21;BRBMEFBGI609;AGRIBUSINESS;;;;;325,3;;;;
2021-04-07;BGIZ21;BRBMEFBGI5X3;AGRIBUSINESS;;;;;325,3;;;;
2021-04-07;BRIM21;BRBMEFBRI2Z2;FINANCIAL;;;;;19771;;;;
2021-04-07;BRIQ21;BRBMEFBRI309;FINANCIAL;;;;;19894;;;;
2021-04-07;CADK21;BRBMEFCAD3M1;FINANCIAL;;;;;4470,171;;;;
2021-04-07;CADM21;BRBMEFCAD3N9;FINANCIAL;;;;;4479,99;;;;
2021-04-07;CADN21;BRBMEFCAD3O7;FINANCIAL;;;;;4491,542;;;;
2021-04-07;CADQ21;BRBMEFCAD3P4;FINANCIAL;;;;;4504,936;;;;
2021-04-07;CADU21;BRBMEFCAD3Q2;FINANCIAL;;;;;4520,31;;;;
2021-04-07;CANK21;BRBMEFCAN0S2;FINANCIAL;1261,3;1262,8;1262,5;1262,8;1262,332;;;3;521
2021-04-07;CANM21;BRBMEFCAN0T0;FINANCIAL;1262,7;1262,7;1262,7;1262,7;1262,293;;;2;646
2021-04-07;CANN21;BRBMEFCAN0U8;FINANCIAL;;;;;1262,21;;;;
2021-04-07;CANQ21;BRBMEFCAN0V6;FINANCIAL;;;;;1262,202;;;;
2021-04-07;CANU21;BRBMEFCAN0W4;FINANCIAL;;;;;1262,212;;;;
2021-04-07;CCMF22;BRBMEFCCP2B0;AGRIBUSINESS;90,8;90,98;90,85;90,8;89,77;;;4;8
2021-04-07;CCMH22;BRBMEFCCP2A2;AGRIBUSINESS;87;87,04;87,01;87;86;;;5;10
2021-04-07;CCMK21;BRBMEFCCP270;AGRIBUSINESS;98,15;99,77;99,04;98,91;98,94;;;3315;4651
2021-04-07;CCMK22;BRBMEFCCP2C8;AGRIBUSINESS;;;;;81,5;;;;
2021-04-07;CCMN21;BRBMEFCCP288;AGRIBUSINESS;93,31;95,45;94,58;94,5;94,52;;;694;1501
2021-04-07;CCMU21;BRBMEFCCP262;AGRIBUSINESS;88,4;89,66;89,06;88,95;88,92;;;884;1577
2021-04-07;CCMU22;BRBMEFCCP2D6;AGRIBUSINESS;;;;;77,21;;;;
