RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-03-24;AFSJ21;BRBMEFAFS0R6;FINANCIAL;14940;15000;14999,94;15000;14953,2;;;8;3411
2021-03-24;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;15006,6;;;;
2021-03-24;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;15066,8;;;;
2021-03-24;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;15128,2;;;;
2021-03-24;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;15184,6;;;;
2021-03-24;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;60,649;;;;
2021-03-24;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;59,089;;;;
2021-03-24;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;57,559;;;;
2021-03-24;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;55,624;;;;
2021-03-24;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;53,937;;;;
2021-03-24;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;92310;;;;
2021-03-24;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;94864,3;;;;
2021-03-24;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;97578,6;;;;
2021-03-24;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;101227,8;;;;
2021-03-24;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;104698,5;;;;
2021-03-24;AUDJ21;BRBMEFAUD3M9;FINANCIAL;4280;4280;4280;4280;4253,431;;;3;565
2021-03-24;AUDK21;BRBMEFAUD3N7;FINANCIAL;4286;4286;4286;4286;4259,086;;;2;300
2021-03-24;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4267,88;;;;
2021-03-24;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4279,071;;;;
2021-03-24;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4291,866;;;;
2021-03-24;AUSJ21;BRBMEFAUS0R7;FINANCIAL;759,7;763;760,09;759,7;759,748;;;23;24944
2021-03-24;AUSK21;BRBMEFAUS0S5;FINANCIAL;;;;;759,819;;;;
2021-03-24;AUSM21;BRBMEFAUS0T3;FINANCIAL;759,7;760,3;760,28;759,7;759,883;;;16;24400
2021-03-24;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;759,95;;;;
2021-03-24;AUSQ21;BRBMEFAUS0V9;FINANCIAL;;;;;760,016;;;;
2021-03-24;B3SAOJ21;BRB3SA340026;FINANCIAL;53,7;55,27;54,49;53,88;53,88;;;362;122500
2021-03-24;B3SAOK21;BRB3SA350025;FINANCIAL;54;55,45;54,68;54,07;54,03;;;56;28400
2021-03-24;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;312,2;313,8;313,52;313,8;313,8;;;92;191
2021-03-24;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;308;311,9;310,42;311,9;313;;;40;99
2021-03-24;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;301,5;307;304,38;306,5;305,8;;;501;1027
2021-03-24;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;;;;;306,05;;;;
2021-03-24;BGIN21;BRBMEFBGI5W5;AGRIBUSINESS;307,7;307,7;307,7;307,7;309,25;;;2;3
2021-03-24;BGIQ21;BRBMEFBGI5Y1;AGRIBUSINESS;;;;;307,4;;;;
2021-03-24;BGIU21;BRBMEFBGI5Z8;AGRIBUSINESS;;;;;317,4;;;;
2021-03-24;BGIV21;BRBMEFBGI5V7;AGRIBUSINESS;318;321,3;320,34;321;321;;;28;49
2021-03-24;BGIX21;BRBMEFBGI609;AGRIBUSINESS;318,55;322;319,24;322;320,8;;;3;5
2021-03-24;BGIZ21;BRBMEFBGI5X3;AGRIBUSINESS;;;;;320,8;;;;
2021-03-24;BRIJ21;BRBMEFBRI2Y5;FINANCIAL;;;;;18635;;;;
2021-03-24;BRIM21;BRBMEFBRI2Z2;FINANCIAL;;;;;18712;;;;
2021-03-24;CADJ21;BRBMEFCAD3L3;FINANCIAL;;;;;4456,16;;;;
2021-03-24;CADK21;BRBMEFCAD3M1;FINANCIAL;;;;;4461,865;;;;
2021-03-24;CADM21;BRBMEFCAD3N9;FINANCIAL;;;;;4470,771;;;;
2021-03-24;CADN21;BRBMEFCAD3O7;FINANCIAL;;;;;4482,149;;;;
2021-03-24;CADQ21;BRBMEFCAD3P4;FINANCIAL;;;;;4495,174;;;;
2021-03-24;CANJ21;BRBMEFCAN0R4;FINANCIAL;1254,4;1257,1;1256,5;1256,5;1256,345;;;14;19176
2021-03-24;CANK21;BRBMEFCAN0S2;FINANCIAL;;;;;1256,289;;;;
2021-03-24;CANM21;BRBMEFCAN0T0;FINANCIAL;1256,2;1256,8;1256,28;1256,2;1256,271;;;13;18867
2021-03-24;CANN21;BRBMEFCAN0U8;FINANCIAL;;;;;1256,257;;;;
2021-03-24;CANQ21;BRBMEFCAN0V6;FINANCIAL;;;;;1256,253;;;;
2021-03-24;CCMF22;BRBMEFCCP2B0;AGRIBUSINESS;84,11;84,75;84,43;84,7;84,55;;;49;68
2021-03-24;CCMH22;BRBMEFCCP2A2;AGRIBUSINESS;79,8;80,1;79,96;80,1;80,1;;;47;70
2021-03-24;CCMK21;BRBMEFCCP270;AGRIBUSINESS;92,21;94,29;93,22;94,23;94,14;;;3534;5243
2021-03-24;CCMK22;BRBMEFCCP2C8;AGRIBUSINESS;;;;;68,9;;;;
2021-03-24;CCMN21;BRBMEFCCP288;AGRIBUSINESS;87,9;89,51;88,86;89,3;89,43;;;386;718
2021-03-24;CCMU21;BRBMEFCCP262;AGRIBUSINESS;81,84;83,91;83,36;83,8;83,77;;;810;1629
2021-03-24;CCMU22;BRBMEFCCP2D6;AGRIBUSINESS;;;;;64;;;;
2021-03-24;CCMX21;BRBMEFCCP296;AGRIBUSINESS;83,59;84,6;84,39;84,3;84,51;;;59;97
2021-03-24;CCROOJ21;BRCCRO340025;FINANCIAL;12,43;12,78;12,66;12,43;12,3;;;50;48200
2021-03-24;CCROOK21;BRCCRO350024;FINANCIAL;12,44;12,81;12,75;12,44;12,31;;;331;254900
2021-03-24;CHFJ21;BRBMEFCHF379;FINANCIAL;;;;;5987,034;;;;
2021-03-24;CHFK21;BRBMEFCHF387;FINANCIAL;;;;;5998,922;;;;
2021-03-24;CHFM21;BRBMEFCHF395;FINANCIAL;;;;;6015,957;;;;
2021-03-24;CHFN21;BRBMEFCHF3A7;FINANCIAL;;;;;6037,021;;;;
2021-03-24;CHFQ21;BRBMEFCHF3B5;FINANCIAL;;;;;6059,745;;;;
2021-03-24;CHLJ21;BRBMEFCHL0R9;FINANCIAL;;;;;727245;;;;
2021-03-24;CHLK21;BRBMEFCHL0S7;FINANCIAL;;;;;727094,3;;;;
2021-03-24;CHLM21;BRBMEFCHL0T5;FINANCIAL;;;;;726951;;;;
2021-03-24;CHLN21;BRBMEFCHL0U3;FINANCIAL;;;;;726955,5;;;;
2021-03-24;CHLQ21;BRBMEFCHL0V1;FINANCIAL;;;;;726831,4;;;;
2021-03-24;CIELOJ21;BRCIEL340027;FINANCIAL;3,63;3,73;3,69;3,63;3,6;;;139;415000
2021-03-24;CIELOK21;BRCIEL350026;FINANCIAL;3,65;3,73;3,68;3,69;3,61;;;22;90000
2021-03-24;CLPJ21;BRBMEFCLP370;FINANCIAL;7580;7580;7580;7580;7698,2;;;2;11
2021-03-24;CLPK21;BRBMEFCLP388;FINANCIAL;;;;;7709,3;;;;
2021-03-24;CLPM21;BRBMEFCLP396;FINANCIAL;;;;;7726,1;;;;
2021-03-24;CLPN21;BRBMEFCLP3A9;FINANCIAL;;;;;7745,6;;;;
2021-03-24;CLPQ21;BRBMEFCLP3B7;FINANCIAL;;;;;7769,4;;;;
2021-03-24;CMIGPJ21;BRCMIG440022;FINANCIAL;12,11;12,47;12,31;12,11;12,08;;;68;76100
2021-03-24;CMIGPK21;BRCMIG450021;FINANCIAL;12,25;12,46;12,32;12,27;12,12;;;5;4800
2021-03-24;CNHJ21;BRBMEFCNH0R7;FINANCIAL;6536;6536;6536;6536;6533,896;;;1;5
2021-03-24;CNHK21;BRBMEFCNH0S5;FINANCIAL;;;;;6547,568;;;;
2021-03-24;CNHM21;BRBMEFCNH0T3;FINANCIAL;;;;;6563,001;;;;
2021-03-24;CNHN21;BRBMEFCNH0U1;FINANCIAL;;;;;6578,869;;;;
2021-03-24;CNHQ21;BRBMEFCNH0V9;FINANCIAL;;;;;6593,863;;;;
2021-03-24;CNYJ21;BRBMEFCNY378;FINANCIAL;;;;;8573,702;;;;
2021-03-24;CNYK21;BRBMEFCNY386;FINANCIAL;;;;;8562,151;;;;
2021-03-24;CNYM21;BRBMEFCNY394;FINANCIAL;;;;;8557,618;;;;
2021-03-24;CNYN21;BRBMEFCNY3A6;FINANCIAL;;;;;8556,812;;;;
2021-03-24;CNYQ21;BRBMEFCNY3B4;FINANCIAL;;;;;8560,335;;;;
2021-03-24;COGNOJ21;BRCOGN340017;FINANCIAL;3,88;4,01;3,94;3,9;3,89;;;317;459000
2021-03-24;COGNOK21;BRCOGN350016;FINANCIAL;3,91;4,01;3,95;3,91;3,9;;;98;165100
2021-03-24;DAPF22;BRBMEFDAP322;FINANCIAL;0,02;0,03;0,02;0,02;99983,65;0,02;;11;1325
2021-03-24;DAPF23;BRBMEFDAP3I4;FINANCIAL;;;;;96799,27;1,81;;;
2021-03-24;DAPJ21;BRBMEFDAP3H6;FINANCIAL;;;;;100320,89;-5,24;;;
2021-03-24;DAPK21;BRBMEFDAP1K4;FINANCIAL;-5,96;-5,67;-5,92;-5,96;100881,72;-5,96;;9;450
2021-03-24;DAPK23;BRBMEFDAP1G2;FINANCIAL;1,95;2,05;2,02;2,05;95767,89;2,05;;40;3165
2021-03-24;DAPK25;BRBMEFDAP330;FINANCIAL;3,09;3,12;3,1;3,09;88197,35;3,09;;30;1983
2021-03-24;DAPK35;BRBMEFDAP2L0;FINANCIAL;;;;;55617,77;4,25;;;
2021-03-24;DAPK45;BRBMEFDAP3B9;FINANCIAL;;;;;32654,71;4,76;;;
2021-03-24;DAPK55;BRBMEFDAP3D5;FINANCIAL;;;;;19885,15;4,86;;;
2021-03-24;DAPM21;BRBMEFDAP3J2;FINANCIAL;;;;;100743,86;-3,28;;;
2021-03-24;DAPQ22;BRBMEFDAP116;FINANCIAL;1,14;1,14;1,14;1,14;98433,52;1,14;;17;1036
2021-03-24;DAPQ24;BRBMEFDAP1F4;FINANCIAL;2,86;2,86;2,86;2,86;90896,36;2,86;;9;348
2021-03-24;DAPQ26;BRBMEFDAP1L2;FINANCIAL;3,38;3,41;3,39;3,39;83555,83;3,39;;35;3337
2021-03-24;DAPQ28;BRBMEFDAP280;FINANCIAL;3,7;3,73;3,71;3,72;76380,51;3,72;;31;1763
2021-03-24;DAPQ30;BRBMEFDAP1E7;FINANCIAL;3,88;3,91;3,89;3,88;69897,24;3,9;;14;3099
2021-03-24;DAPQ40;BRBMEFDAP3A1;FINANCIAL;;;;;42447,84;4,53;;;
2021-03-24;DAPQ50;BRBMEFDAP3C7;FINANCIAL;;;;;25033,75;4,84;;;
2021-03-24;DCOF22;BRBMEFDCO0R0;FINANCIAL;;;;;100947,82;-1,186;;;
2021-03-24;DCOF23;BRBMEFDCO0S8;FINANCIAL;;;;;99757,22;0,135;;;
2021-03-24;DCOF24;BRBMEFDCO0T6;FINANCIAL;;;;;98460,81;0,555;;;
2021-03-24;DCOF25;BRBMEFDCO0U4;FINANCIAL;;;;;96693,72;0,892;;;
2021-03-24;DCOF26;BRBMEFDCO156;FINANCIAL;;;;;94477,1;1,206;;;
2021-03-24;DCOF27;BRBMEFDCO1S6;FINANCIAL;;;;;91931,59;1,496;;;
2021-03-24;DCOF28;BRBMEFDCO1P2;FINANCIAL;;;;;89542,78;1,698;;;
2021-03-24;DCOF29;BRBMEFDCO1R8;FINANCIAL;;;;;87200,3;1,86;;;
2021-03-24;DCOF30;BRBMEFDCO1Q0;FINANCIAL;;;;;84791,9;2,014;;;
