RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-03-03;AFSJ21;BRBMEFAFS0R6;FINANCIAL;15080;15112;15085,33;15112;15121,9;;;2;6
2021-03-03;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;15180,1;;;;
2021-03-03;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;15242,6;;;;
2021-03-03;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;15297,8;;;;
2021-03-03;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;15355,2;;;;
2021-03-03;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;60,475;;;;
2021-03-03;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;56,952;;;;
2021-03-03;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;58,12;;;;
2021-03-03;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;53,834;;;;
2021-03-03;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;49,703;;;;
2021-03-03;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;95170,5;;;;
2021-03-03;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;101174,8;;;;
2021-03-03;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;99304,8;;;;
2021-03-03;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;107414,5;;;;
2021-03-03;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;116621,6;;;;
2021-03-03;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4489,933;;;;
2021-03-03;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4495,591;;;;
2021-03-03;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4503,449;;;;
2021-03-03;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4512,337;;;;
2021-03-03;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4523,34;;;;
